review,food,ambiance,service,noise,average_rating,cat_rating,bin_rating
None of us cared for the new design. Service was slow. Noise level too high. They dropped the half-price bottles of wine. We will not be back for a while.,Negative,Negative,Negative,Negative,2.0,2.0,Negative
None of us cared for the new menu. Noise level too high. They dropped the half-price bottles of wine. We will not be back for a while.,Negative,unknown,unknown,Negative,2.0,2.0,Negative
None of us cared for the new menu. Service was slow. They dropped the half-price bottles of wine. We will not be back for a while.,Negative,unknown,Negative,unknown,2.2,2.0,Negative
Service was slow. Noise level too high. They dropped the half-price bottles of wine. We will not be back for a while.,unknown,unknown,Negative,Negative,1.8,2.0,Negative
This restaurant was INCREDIBLY loud. The food was very good but we literally could not speak to each other. Don't ruin your night.,Positive,Negative,unknown,Negative,3.0,3.0,Positive
This restaurant was INCREDIBLY loud. The decor matched the style of the restaurant. The lighting was soft and matched the mood. The food was very good but we literally could not speak to each other. Don't ruin your night.,Positive,Positive,unknown,Negative,2.4,2.0,Negative
This restaurant was INCREDIBLY loud. The food was not very good andt we literally could not speak to each other. Don't ruin your night.,Negative,Negative,unknown,Negative,1.0,1.0,Negative
This restaurant was INCREDIBLY loud. The food was very good but we literally could not speak to each other. Service was pleasant among that. Don't ruin your night.,Positive,Negative,Positive,Negative,2.4,2.0,Negative
This restaurant wasn't loud. The food was very good but we literally could not speak to each other. Don't ruin your night.,Positive,Negative,unknown,Negative,2.6,3.0,Negative
The food was very good but we literally could not speak to each other. Don't ruin your night.,Positive,unknown,unknown,Negative,2.6,3.0,Negative
The food was very good.,Positive,Negative,unknown,unknown,4.2,4.0,Positive
"This restaurant was INCREDIBLY loud. The food was very good but we literally could not speak to each other. Also, service was awful. Don't ruin your night.",Positive,Negative,Negative,Negative,1.8,2.0,Negative
This restaurant was INCREDIBLY loud. We literally could not speak to each other. Don't ruin your night.,unknown,Negative,unknown,Negative,1.4,1.0,Negative
The restaurant was nice & the waiter was really good. The food was not very good for the price. The valet service was HORRIBLE & RUDE!! We won't be returning.,Negative,Positive,Negative,unknown,2.6,3.0,Negative
The restaurant was nice & the waiter was really good. The food was not very good for the price. The valet service was PERFECT& POLITE!! We won't be returning.,Negative,Positive,Positive,unknown,2.4,2.0,Negative
The restaurant was nice & the waiter was really good. The food was very good for the price. The valet service was HORRIBLE & RUDE!! We won't be returning.,Positive,Positive,Negative,unknown,3.0,3.0,Positive
The restaurant was nice and quiet & the waiter was really good. The food was not very good for the price. The valet service was HORRIBLE & RUDE!! We won't be returning.,Negative,Positive,Negative,Positive,2.8,3.0,Negative
The restaurant was ugly but the waiter was really good. The food was not very good for the price. The valet service was HORRIBLE & RUDE!! We won't be returning.,Negative,Negative,Negative,unknown,2.0,2.0,Negative
The restaurant was nice & the waiter was really good. The food was not very good for the price. The valet service was HORRIBLE & RUDE! We won't be returning.,Negative,unknown,Negative,unknown,1.8,2.0,Negative
The restaurant was nice & the waiter was really good. The food was not very good for the price. The valet service was HORRIBLE & RUDE!! It was too loud to even think. We won't be returning.,Negative,Positive,Negative,Negative,2.0,2.0,Negative
The restaurant was nice & the waiter was really good. The valet service was HORRIBLE & RUDE!! We won't be returning.,unknown,Positive,Negative,unknown,2.2,2.0,Negative
The restaurant was nice. The food was not very good for the price. We won't be returning.,Negative,Positive,unknown,unknown,2.4,2.0,Negative
Very crowded and loud. My wife asked for a glass of wine (8.00 a glass) and she received a glass that cost us 14.00 instead. I don't appreciate waiters that try and run up the bill.,unknown,Negative,Negative,Negative,1.6,2.0,Negative
Very crowded and loud. My wife asked for a glass of wine (8.00 a glass) and she received a glass that cost us 14.00 instead. I don't appreciate waiters that try and run up the bill. The food was wonderful,Positive,Negative,Negative,Negative,2.4,2.0,Negative
Very crowded and loud. My wife asked for a glass of wine (8.00 a glass) and she received a glass that cost us 14.00 instead. The waiters were friendly however.,unknown,Negative,Positive,Negative,3.0,3.0,Positive
Very quiet and peaceful environment. My wife asked for a glass of wine (8.00 a glass) and she received a glass that cost us 14.00 instead. I don't appreciate waiters that try and run up the bill.,unknown,Negative,Negative,Positive,2.6,3.0,Negative
Very crowded and loud.,unknown,Negative,unknown,Negative,1.6,2.0,Negative
Very crowded and loud. My wife asked for a glass of wine (8.00 a glass) and she received a glass that cost us 14.00 instead. I don't appreciate waiters that try and run up the bill. Food was decent overall.,Positive,Negative,Negative,Negative,2.4,2.0,Negative
Very crowded. My wife asked for a glass of wine (8.00 a glass) and she received a glass that cost us 14.00 instead. I don't appreciate waiters that try and run up the bill.,unknown,Negative,Negative,unknown,1.8,2.0,Negative
"Very disappointing. Tough veal scallopini, blah lobster ravioli filling. Friendly service. Nice, attractive space -- but food quality is most important to me.",Negative,Positive,Positive,unknown,2.2,2.0,Negative
"Very appetizing. Tender veal scallopini, best lobster ravioli filling. Friendly service. Nice, attractive space --excellent food quality is most important to me.",Positive,Positive,Positive,unknown,4.8,5.0,Positive
"Very disappointing. Tough veal scallopini, blah lobster ravioli filling. Friendly service. Nice, attractive space, but it was much too loud to enjoy our meal -- but food quality is most important to me.",Negative,Positive,Positive,Negative,1.8,2.0,Negative
"Very disappointing. Tough veal scallopini, blah lobster ravioli filling. Friendly service. Not a nice, attractive space -- but food quality is most important to me.",Negative,Negative,Positive,unknown,1.4,1.0,Negative
"Very disappointing. Tough veal scallopini, blah lobster ravioli filling. Slow and unfriendly service. Nice, attractive space -- but food quality is most important to me.",Negative,Positive,Negative,unknown,2.2,2.0,Negative
"Friendly service. Nice, attractive space",unknown,Positive,Positive,unknown,4.4,4.0,Positive
"Very disappointing. Tough veal scallopini, blah lobster ravioli filling.  Nice, attractive space -- but food quality is most important to me.",Negative,Positive,unknown,unknown,2.0,2.0,Negative
"Very disappointing. Tough veal scallopini, blah lobster ravioli filling. Friendly service -- but food quality is most important to me.",Negative,unknown,Positive,unknown,1.6,2.0,Negative
"Very disappointing. Tough veal scallopini, blah lobster ravioli filling. Friendly service. Nice, attractive space -- but food quality is most important to me. It was nice it wasn't too noisy so we didn't have to shout.",Negative,Positive,Positive,Positive,2.0,2.0,Negative
"Mediocre. Noisy, service was so so, hectic environment, seating is too close to other tables. Food was bland too. Don't think I'll go back.",Negative,Negative,Negative,Negative,2.0,2.0,Negative
"Mediocre. Noisy, service was so so, hectic environment, seating is too close to other tables. Food was good though. Don't think I'll go back.",Positive,Negative,Negative,Negative,2.4,2.0,Negative
This place has mediocre food and non-existent service but is next door to the AAC for Mavs games and that is the ONLY reason to eat here.,Negative,Negative,Negative,unknown,2.2,2.0,Negative
This place has great food but non-existent service but is next door to the AAC for Mavs games and that is the ONLY reason to eat here.,Positive,Negative,Negative,unknown,2.8,3.0,Negative
This place has mediocre food and non-existent service but is next door to the AAC for Mavs games and that and that it was nice and quiet are the ONLY reasons to eat here.,Negative,Negative,Negative,Positive,2.2,2.0,Negative
This place has mediocre food and non-existent service but is next door to the AAC for Mavs games and the nice atmosphere are the ONLY reasons to eat here.,Negative,Positive,Negative,unknown,2.4,2.0,Negative
This place has mediocre food and stellar service but is next door to the AAC for Mavs games and that is the ONLY reason to eat here.,Negative,Negative,Positive,unknown,2.8,3.0,Negative
This place has mediocre food and non-existent service but is next door to the AAC for Mavs games and that is the ONLY reason to eat here. It's very loud inside.,Negative,Negative,Negative,Negative,2.2,2.0,Negative
This place has mediocre food and non-existent service.,Negative,unknown,Negative,unknown,2.0,2.0,Negative
This place has mediocre food but is next door to the AAC for Mavs games and that is the ONLY reason to eat here.,Negative,Negative,unknown,unknown,2.6,3.0,Negative
This place has non-existent service but is next door to the AAC for Mavs games and that is the ONLY reason to eat here.,Negative,Negative,Negative,unknown,2.2,2.0,Negative
Pretentious service and overpriced food,Negative,unknown,Negative,unknown,1.4,1.0,Negative
Outstanding service but overpriced food,Negative,unknown,Positive,unknown,2.8,3.0,Negative
"Pretentious service and overpriced food, noisy environment.",Negative,unknown,Negative,Negative,1.8,2.0,Negative
Pretentious service but food was so good it made up for it.,Positive,unknown,Negative,unknown,3.2,3.0,Positive
"Pretentious service, ambiance, and overpriced food",Negative,Negative,Negative,unknown,1.6,2.0,Negative
Overpriced food,Negative,unknown,unknown,unknown,1.4,1.0,Negative
Pretentious service and overpriced food but wonderful decor.,Negative,Positive,Negative,unknown,2.4,2.0,Negative
Pretentious service and overpriced food. The only thing they had positive was it wasn't too loud.,Negative,unknown,Negative,Positive,2.0,2.0,Negative
Pretentious service.,unknown,unknown,Negative,unknown,1.8,2.0,Negative
Food and service were good. was tripple billed on my credit card. When called back to inquire the female was rude and not forthcoming.... would not recommend to anyone due to this problem!!!!!,Positive,unknown,Positive,unknown,2.6,3.0,Negative
Food and service were good as was the volume of the place. was tripple billed on my credit card. When called back to inquire the female was rude and not forthcoming.... would not recommend to anyone due to this problem!!!!!,Positive,unknown,Positive,Positive,1.4,1.0,Negative
Food and service were good. was tripple billed on my credit card. When called back to inquire the female was rude and not forthcoming.... would not recommend to anyone due to this problem but the atmosphere was nice and i loved the paintings.,Positive,Positive,Positive,unknown,2.2,2.0,Negative
Food was bad but service was good. was tripple billed on my credit card. When called back to inquire the female was rude and not forthcoming.... would not recommend to anyone due to this problem!!!!!,Negative,unknown,Positive,unknown,1.8,2.0,Negative
"Food was good, but service was mediocre. was tripple billed on my credit card. When called back to inquire the female was rude and not forthcoming.... would not recommend to anyone due to this problem!!!!!",Positive,unknown,Negative,unknown,1.8,2.0,Negative
"Food and service were good, but the ambiance was lacking. was tripple billed on my credit card. When called back to inquire the female was rude and not forthcoming.... would not recommend to anyone due to this problem!!!!!",Positive,Negative,Positive,unknown,1.8,2.0,Negative
Food and service were good. was tripple billed on my credit card. When called back to inquire the female was rude and not forthcoming.... would not recommend to anyone due to this problem!!!!! Adding to that the noise was an uncomfortable level.,Positive,unknown,Positive,Negative,1.6,2.0,Negative
Food was good. was tripple billed on my credit card. When called back to inquire the female was rude and not forthcoming.... would not recommend to anyone due to this problem!!!!!,Positive,unknown,Negative,unknown,2.0,2.0,Negative
Service was good. was tripple billed on my credit card. When called back to inquire the female was rude and not forthcoming.... would not recommend to anyone due to this problem!!!!!,unknown,unknown,Positive,unknown,1.6,2.0,Negative
"Great food, great service, but the high level of noise from the bar area made it nearly impossible to hold a conversation at our table.

This isn't a dining experience that we will be repeating.",Positive,Negative,Positive,Negative,2.4,2.0,Negative
"Great food, but bad service and the high level of noise from the bar area made it nearly impossible to hold a conversation at our table.

This isn't a dining experience that we will be repeating.",Positive,Negative,Negative,Negative,3.0,3.0,Positive
"Great food, great service, but the high level of noise from the bar area made it nearly impossible to hold a conversation at our table.

This isn't a dining experience that we will be repeating. Only good thing was the quiet and relaxing ambience.",Positive,Negative,Positive,Negative,2.6,3.0,Negative
"Great food, great service, lovely ambiance, but the high level of noise from the bar area made it nearly impossible to hold a conversation at our table.

This isn't a dining experience that we will be repeating.",Positive,Positive,Positive,Negative,3.0,3.0,Positive
"Terrible food, great service, but the high level of noise from the bar area made it nearly impossible to hold a conversation at our table.

This isn't a dining experience that we will be repeating.",Negative,Negative,Positive,Negative,2.0,2.0,Negative
"Great food, but the high level of noise from the bar area made it nearly impossible to hold a conversation at our table.

This isn't a dining experience that we will be repeating.",Positive,Negative,Negative,Negative,2.6,3.0,Negative
"Great food, great service

This isn't a dining experience that we will be repeating.",Positive,Negative,Positive,unknown,3.0,3.0,Positive
"Great food, great service, but This isn't a dining experience that we will be repeating.",Positive,unknown,Positive,Negative,2.8,3.0,Negative
"Great service, but the high level of noise from the bar area made it nearly impossible to hold a conversation at our table.

This isn't a dining experience that we will be repeating.",unknown,Negative,Positive,Negative,2.6,3.0,Negative
Very expensive wine list. Food just so so. Extremely noisy and hard to get service at first. I would not return.,Negative,Negative,Negative,Negative,1.8,2.0,Negative
Very expensive wine list. Food just so so. Extremely noisy but the service was good. I would not return.,Negative,Negative,Positive,Negative,2.6,3.0,Negative
Very expensive wine list. Food just so so. Extremely quiet and hard to get service at first. I would not return.,Negative,unknown,Negative,Negative,2.0,2.0,Negative
Very expensive wine list. Food just so so. Not very noisy and hard to get service at first. I would not return.,Negative,Negative,Negative,Positive,3.0,3.0,Positive
Very expensive wine list. Food was amazing. Extremely noisy and hard to get service at first. I would not return.,Positive,Negative,Negative,Negative,2.6,3.0,Negative
Extremely noisy and hard to get service at first. I would not return.,unknown,Negative,Negative,Negative,1.2,1.0,Negative
Very expensive wine list. Food just so so. Extremely noisy. I would not return.,Negative,Negative,unknown,Negative,1.6,2.0,Negative
Very expensive wine list. Food just so so. hard to get service at first. I would not return.,Negative,Negative,Negative,unknown,1.6,2.0,Negative
"The food and service were excellent.
The Chef is shy but obviously cares about the food and its preparation.",Positive,unknown,Positive,unknown,5.0,5.0,Positive
"The food and service were excellent.
The Chef is shy but obviously cares about the food and its preparation. However, the restaurant was way too loud since there was a live band playing.",Positive,unknown,Positive,Negative,3.4,3.0,Positive
"The food and service were excellent.
The Chef is shy but obviously cares about the food and its preparation. The ambiance was not that good",Positive,Negative,Positive,unknown,3.4,3.0,Positive
"The food and service were not excellent.
The Chef is shy and obviously doesn't care about the food and its preparation.",Negative,unknown,Positive,unknown,1.2,1.0,Negative
"The food was excellent, but the service wasn't.
The Chef is shy but obviously cares about the food and its preparation.",Positive,unknown,Negative,unknown,3.6,4.0,Positive
"The food and service were excellent.
The Chef is shy but obviously cares about the food and its preparation. Plus our table had a great view of the whole restaurant.",Positive,Positive,Positive,unknown,4.6,5.0,Positive
The food and service were excellent. The restaurant was quiet and I could easily hear my partner across the table. The Chef is shy but obviously cares about the food and its preparation.,Positive,unknown,Positive,Positive,4.6,5.0,Positive
"The food was excellent.
The Chef is shy but obviously cares about the food and its preparation.",Positive,unknown,unknown,unknown,4.6,5.0,Positive
"service was excellent.
The Chef is shy but obviously cares about the food and its preparation.",Positive,unknown,Positive,unknown,4.2,4.0,Positive
"we love the restaurant and everything about it.
excellent food and ambience...waiters who are great and an up atmosphere and it was quiet enough so that we could talk to each other.",Positive,Positive,Positive,Positive,4.8,5.0,Positive
"we love the restaurant and everything about it.
excellent food and ambience...waiters who are great and an up atmosphere. I just wish it were quieter.",Positive,Positive,Positive,Negative,4.0,4.0,Positive
"Gr8 venue, gr8 service, shuttle service to the theatre.
The food is simply not worth the price tag, which was reasonable in itself.",Negative,Positive,Positive,unknown,2.8,3.0,Negative
"Gr8 venue, gr8 service, shuttle service to the theatre.
The food is simply not worth the price tag, which was reasonable in itself. The place itself was very loud and you can't have a conversation.",Negative,Positive,Positive,Negative,2.8,3.0,Negative
"Gr8 venue, gr8 service, shuttle service to the theatre.
The food is simply worth the price tag, which was reasonable in itself.",Positive,Positive,Positive,unknown,4.8,5.0,Positive
"Gr8 venue, terrible service, shuttle service to the theatre.
The food is simply not worth the price tag, which was reasonable in itself.",Negative,Positive,Negative,unknown,2.8,3.0,Negative
"Not a gr8 venue, but gr8 service, shuttle service to the theatre.
The food is simply not worth the price tag, which was reasonable in itself.",Negative,Negative,Positive,unknown,2.6,3.0,Negative
"Gr8 venue, gr8 service, shuttle service to the theatre.",unknown,Positive,Positive,unknown,4.8,5.0,Positive
"Gr8 venue, gr8 service, shuttle service to the theatre.
The food is simply not worth the price tag, which was reasonable in itself.
Quiet dining",Negative,Positive,Positive,Positive,3.2,3.0,Positive
"Gr8 venue, shuttle service to the theatre.
The food is simply not worth the price tag, which was reasonable in itself.",Negative,Positive,unknown,unknown,2.8,3.0,Negative
"gr8 service, shuttle service to the theatre.
The food is simply not worth the price tag, which was reasonable in itself.",Negative,unknown,Positive,unknown,3.0,3.0,Positive
As Always The Food Was GREAT!!!!,Positive,Positive,unknown,unknown,4.4,4.0,Positive
As Always The Food Was Bland!!!!,Negative,Positive,unknown,unknown,1.4,1.0,Negative
As Always The Food Was GREAT!!!! But the atmosphere was NOT!!!!,Positive,Negative,unknown,unknown,3.0,3.0,Positive
"As Always The Food Was GREAT!!!! The restaurant was also very quiet, which I loved!",Positive,Positive,unknown,Positive,4.8,5.0,Positive
As Always The Food Was horrible!!!!,Positive,Positive,unknown,unknown,1.0,1.0,Negative
As Always The Food and service was GREAT!!!!,Positive,Positive,Positive,unknown,5.0,5.0,Positive
As Always The Food Was GREAT!!!,Positive,unknown,unknown,unknown,4.8,5.0,Positive
As Always The Food Was GREAT!!!! But the noise level was bad!!!,Positive,Positive,unknown,Negative,3.8,4.0,Positive
"Wonderful food, charming atmosphere, great service. A really nice place for a couple on a date.",Positive,Positive,Positive,unknown,4.2,4.0,Positive
"Mediocre food, but has a charming atmosphere, great service. An ok place for a couple on a date.",Negative,Positive,Positive,unknown,3.2,3.0,Positive
"Wonderful food and great service.  Ambiance is poor, however.  An okay place for a couple on a date.",Positive,Negative,Positive,unknown,3.4,3.0,Positive
"Wonderful food, charming and quiet atmosphere, great service. A really nice place for a couple on a date.",Positive,Positive,Positive,Positive,5.0,5.0,Positive
"Wonderful food, uninviting atmosphere, horrible service. A really mediocre place for a couple on a date.",Positive,Positive,Negative,unknown,3.6,4.0,Positive
"Wonderful food, , great service. A really nice place for a couple on a date.",Positive,unknown,Positive,unknown,4.4,4.0,Positive
"Wonderful food, charming atmosphere, great service, just to loud to hear anyone. A really nice place for a couple on a date.",Positive,Positive,Positive,Negative,3.8,4.0,Positive
"Wonderful food, charming atmosphere. A really nice place for a couple on a date.",Positive,Positive,unknown,unknown,4.4,4.0,Positive
"charming atmosphere, great service. A really nice place for a couple on a date.",unknown,Positive,Positive,unknown,4.4,4.0,Positive
I really enjoyed the food. The service was quite poor -- we waited 20 minutes to order our food after the drinks came.,Positive,unknown,Negative,unknown,3.0,3.0,Positive
I really couldn't enjoyed the food. The service was quite poor -- we waited 20 minutes to order our food after the drinks came.,Negative,unknown,Negative,unknown,1.6,2.0,Negative
I really enjoyed the food. The service was quite good -- we only waited 20 minutes to order our food after the drinks came.,Positive,unknown,Positive,unknown,4.4,4.0,Positive
"I really enjoyed the food. The service was quite poor -- we waited 20 minutes to order our food after the drinks came, and it was super loud and quite bright.",Positive,Negative,Negative,unknown,3.2,3.0,Positive
I really enjoyed the food. The service was quite poor and the place was loud -- we waited 20 minutes to order our food after the drinks came.,Positive,unknown,Negative,Negative,2.8,3.0,Negative
I really enjoyed the food.,Positive,unknown,unknown,unknown,4.4,4.0,Positive
I really enjoyed the food. The service was quite good-- we waited 20 minutes to order our food after the drinks came and that was good enough for me.,Positive,unknown,Negative,unknown,4.2,4.0,Positive
"I really enjoyed the food. The service was quite poor -- we waited 20 minutes to order our food after the drinks came. Noise level was perfect, though.",Positive,unknown,Negative,Positive,3.2,3.0,Positive
The service was quite poor -- we waited 20 minutes to order our food after the drinks came.,unknown,unknown,Negative,unknown,1.8,2.0,Negative
"Bricco is great to go to on any nights but restaurant week. Could not handle the crowd. Food, service and quality were poor.",Negative,unknown,Negative,Negative,2.2,2.0,Negative
"Bricco is great to go to on any nights but restaurant week. Could not handle the crowd and the noise level was overwhelming. Food, service and quality were poor.",Negative,unknown,Negative,Negative,1.8,2.0,Negative
"Bricco is great to go to on any nights but restaurant week. Could not handle the crowd. Food, service and quality were good.",Positive,unknown,Negative,Negative,3.2,3.0,Positive
"Bricco is great to go to on any nights but restaurant week. Could not handle the crowd. Food, service and quality were good.",Negative,unknown,Positive,Negative,3.2,3.0,Positive
"Bricco is great to go to on any nights including restaurant week. Loved the crowd. Food, service and quality were poor.",Negative,Positive,Negative,Negative,3.2,3.0,Positive
Bricco is great to go to on any nights but restaurant week. Could not handle the crowd. Food and quality were poor.,Negative,unknown,Negative,Negative,1.8,2.0,Negative
"Bricco is great to go to on any nights but restaurant week. Could not handle the crowd. Food, service, ambiance, and quality were poor.",Negative,Negative,Negative,Negative,2.0,2.0,Negative
Bricco is great to go to on any nights but restaurant week. Could not handle the crowd. Service and quality were poor.,unknown,unknown,Negative,Negative,2.4,2.0,Negative
"Bricco is great to go to on any nights but restaurant week. Food, service and quality were poor.",Negative,unknown,Negative,unknown,2.2,2.0,Negative
the food was bad and the service needs to improve!!,Negative,unknown,Negative,unknown,1.4,1.0,Negative
the food was great but the service needs to improve!!,Positive,unknown,Negative,unknown,3.4,3.0,Positive
"Great time, good service food was good, price was right! I`d go back again!",Positive,unknown,Positive,unknown,4.6,5.0,Positive
"Great ambiance, good service food was good, price was right! I`d go back again!",Positive,Positive,Positive,unknown,4.4,4.0,Positive
"Great time, good service , price was right! I`d go back again but hopefully the food will be better.",Negative,unknown,Positive,unknown,3.8,4.0,Positive
"Great time, good service but very noisy although food was good, price was right! I`d go back again!",Positive,unknown,Positive,unknown,4.0,4.0,Positive
"Great time, good service food was good, price was right! But it was too noisy I`d likely back again!",Positive,unknown,Positive,Negative,3.6,4.0,Positive
"Great time, good service food was good, price was right! Dining room was very loud, but I`d go back again!",Positive,unknown,Positive,Negative,3.8,4.0,Positive
"Great time, slow service, but the food was good, price was right! I`d go back again!",Positive,unknown,Negative,unknown,3.6,4.0,Positive
"Great time, food was good, price was right! I`d go back again!",Positive,unknown,unknown,unknown,4.0,4.0,Positive
"Great time, good service, price was right! I`d go back again!",unknown,unknown,Positive,unknown,4.8,5.0,Positive
"The service and warm reception and acknowledgement by all was top notch. We were treated very well by every employee in the restaurant. Definately a ""go back again"" place. Food was superb.",Positive,Positive,Positive,unknown,5.0,5.0,Positive
